first_name,last_name,email,salary,country,date_of_birth,gender,phone_number,joining_date,status,department,job_title
Robert,Miller,robert.miller0@example.com,92476.77,Japan,1979-05-21,Female,+16284886874,2020-05-26,Active,Quality Assurance,Data Scientist
David,Miller,david.miller1@example.com,101075.83,UK,1976-02-11,Other,+13002831606,2012-01-20,Suspended,Product,HR Specialist
Ava,Davis,ava.davis2@example.com,53089.05,Canada,1997-02-17,Male,+18411298329,2017-08-05,Suspended,Product,Data Scientist
Alex,Lopez,alex.lopez3@example.com,122821.25,Australia,1990-05-15,Other,+11205234502,2019-12-30,Terminated,Human Resources,QA Engineer
Isabella,Johnson,isabella.johnson4@example.com,60947.62,Canada,1995-12-09,Other,+13569996523,2010-11-23,Suspended,Operations,Data Scientist
Alex,Davis,alex.davis5@example.com,72444.01,India,1999-05-28,Male,+13075417575,2015-04-05,Suspended,Engineering,HR Specialist
John,Brown,john.brown6@example.com,92354.9,Brazil,1978-07-16,Female,+16045802112,2021-03-20,Active,Operations,Data Scientist
Isabella,Brown,isabella.brown7@example.com,107173.03,India,1989-06-30,Other,+13816713440,2018-10-23,Terminated,Quality Assurance,Product Manager
William,Lopez,william.lopez8@example.com,132161.92,Brazil,2000-03-20,Other,+13851550219,2010-07-29,On Leave,Operations,Data Scientist
Chris,Martin,chris.martin9@example.com,130700.64,Germany,1989-11-20,Female,+17239606641,2020-09-03,Terminated,Product,Data Scientist
Michael,Hernandez,michael.hernandez10@example.com,49190.31,UK,1991-04-22,Other,+12145697161,2010-09-25,Terminated,Operations,Product Manager
Katie,Smith,katie.smith11@example.com,45321.01,USA,1999-12-20,Male,+19297372350,2016-01-01,Active,Operations,Marketing Analyst
Katie,Rodriguez,katie.rodriguez12@example.com,41758.74,Germany,1996-07-27,Female,+15966637364,2017-12-08,Terminated,Quality Assurance,QA Engineer
James,Smith,james.smith13@example.com,104984.18,India,1979-02-02,Female,+13585096071,2010-08-24,Suspended,Human Resources,DevOps Engineer
